-90,-52
-89,-52
-88,-51
-87,-51
-86,-50
-85,-50
-84,-49
-83,-49
-82,-48
-81,-48
-80,-48
-79,-48
-78,-48
-77,-48
-76,-48
-75,-48
-74,-48
-73,-47
-72,-46
-71,-48
-70,-50
-69,-54
-68,-58
-67,-57
-66,-56
-65,-55
-64,-54
-63,-53
-62,-52
-61,-51
-60,-50
-59,-49
-58,-48
-57,-47
-56,-46
-55,-45
-54,-44
-53,-43
-52,-41
-51,-39
-50,-38
-49,-37
-48,-36
-47,-35
-46,-34
-45,-33
-44,-32
-43,-31
-42,-32
-41,-33
-40,-34
-39,-35
-38,-36
-37,-37
-36,-38
-35,-41
-34,-38
-33,-34
-32,-33
-31,-31
-30,-28
-29,-25
-28,-23
-27,-21
-26,-18
-25,-17
-24,-15
-23,-13
-22,-12
-21,-11
-20,-10
-19,-9
-18,-9
-17,-8
-16,-8
-15,-7.5
-14,-7
-13,-6.5
-12,-6
-11,-5
-10,-4
-9,-3.5
-8,-3
-7,-2.5
-6,-2
-5,-1.5
-4,-1
-3,-0.5
-2,-0.4
-1,-0.2
0,0
1,-0.2
2,-0.4
3,-0.8
4,-0.9
5,-1
6,-1.3
7,-1.7
8,-2
9,-2.5
10,-3
11,-4
12,-7
13,-9
14,-11
15,-13
16,-15
17,-17
18,-19
19,-20
20,-22
21,-23
22,-25
23,-27
24,-29
25,-31
26,-33
27,-35
28,-37
29,-38
30,-39
31,-41
32,-41
33,-40
34,-38
35,-39
36,-40
37,-39
38,-38
39,-39
40,-41
41,-42
42,-43
43,-47
44,-46
45,-45
46,-46
47,-46
48,-47
49,-48
50,-50
51,-52
52,-54
53,-56
54,-58
55,-60
56,-58
57,-57
58,-56
59,-55
60,-54
61,-53
62,-52
63,-51
64,-50
65,-49
66,-48
67,-47
68,-46
69,-45
70,-44
71,-44
72,-45
73,-45
74,-45
75,-45
76,-46
77,-46
78,-46
79,-47
80,-47
81,-49
82,-50
83,-51
84,-52
85,-53
86,-54
87,-55
88,-56
89,-57
90,-58
